Aikaleima(dd-mm-YYYY HH:MM:SS);Opiskelija;Tehtävä
04-09-2020 13:57:46;Opiskelija_135;L01-T1
03-09-2020 11:29:57;Opiskelija_136;L01-T1
04-09-2020 15:45:52;Opiskelija_137;L01-T1
06-09-2020 08:47:34;Opiskelija_138;L01-T1
07-09-2020 20:27:07;Opiskelija_139;L01-T1
06-09-2020 13:31:14;Opiskelija_140;L01-T1
04-09-2020 14:52:10;Opiskelija_141;L01-T1
02-09-2020 16:49:14;Opiskelija_142;L01-T1
03-09-2020 15:34:31;Opiskelija_143;L01-T1
05-09-2020 11:32:30;Opiskelija_144;L01-T1
04-09-2020 14:52:07;Opiskelija_145;L01-T1
06-09-2020 11:54:15;Opiskelija_146;L01-T1
07-09-2020 22:01:41;Opiskelija_147;L01-T1
02-09-2020 15:57:08;Opiskelija_149;L01-T1
07-09-2020 12:32:24;Opiskelija_150;L01-T1
04-09-2020 12:11:57;Opiskelija_151;L01-T1
07-09-2020 17:36:57;Opiskelija_152;L01-T1
02-09-2020 16:41:36;Opiskelija_153;L01-T1
02-09-2020 15:52:25;Opiskelija_154;L01-T1
03-09-2020 22:23:31;Opiskelija_155;L01-T1
04-09-2020 17:54:30;Opiskelija_156;L01-T1
05-09-2020 14:14:20;Opiskelija_157;L01-T1
04-09-2020 11:09:47;Opiskelija_158;L01-T1
03-09-2020 14:31:34;Opiskelija_159;L01-T1
05-09-2020 16:53:43;Opiskelija_160;L01-T1
07-09-2020 23:56:06;Opiskelija_161;L01-T1
04-09-2020 17:43:22;Opiskelija_162;L01-T1
04-09-2020 12:00:57;Opiskelija_163;L01-T1
04-09-2020 14:27:01;Opiskelija_164;L01-T1
05-09-2020 13:14:21;Opiskelija_165;L01-T1
07-09-2020 16:01:00;Opiskelija_166;L01-T1
02-09-2020 16:04:24;Opiskelija_167;L01-T1
06-09-2020 11:24:24;Opiskelija_168;L01-T1
02-09-2020 18:15:12;Opiskelija_169;L01-T1
03-09-2020 10:06:51;Opiskelija_170;L01-T1
03-09-2020 20:18:15;Opiskelija_172;L01-T1
05-09-2020 12:06:55;Opiskelija_173;L01-T1
04-09-2020 14:30:08;Opiskelija_174;L01-T1
03-09-2020 15:03:43;Opiskelija_175;L01-T1
04-09-2020 15:07:38;Opiskelija_176;L01-T1
04-09-2020 13:50:02;Opiskelija_177;L01-T1
07-09-2020 18:48:57;Opiskelija_178;L01-T1
06-09-2020 23:47:41;Opiskelija_179;L01-T1
07-09-2020 13:01:11;Opiskelija_180;L01-T1
05-09-2020 17:31:06;Opiskelija_181;L01-T1
03-09-2020 16:21:48;Opiskelija_182;L01-T1
03-09-2020 13:42:25;Opiskelija_183;L01-T1
04-09-2020 16:15:26;Opiskelija_184;L01-T1
03-09-2020 14:54:32;Opiskelija_185;L01-T1
07-09-2020 17:40:40;Opiskelija_186;L01-T1
03-09-2020 09:26:44;Opiskelija_187;L01-T1
04-09-2020 13:33:12;Opiskelija_188;L01-T1
04-09-2020 20:20:14;Opiskelija_189;L01-T1
02-09-2020 16:59:07;Opiskelija_190;L01-T1
03-09-2020 21:22:56;Opiskelija_191;L01-T1
06-09-2020 12:46:31;Opiskelija_192;L01-T1
07-09-2020 17:43:24;Opiskelija_193;L01-T1
04-09-2020 18:07:24;Opiskelija_194;L01-T1
03-09-2020 13:26:14;Opiskelija_195;L01-T1
03-09-2020 11:37:44;Opiskelija_196;L01-T1
07-09-2020 21:28:46;Opiskelija_197;L01-T1
03-09-2020 16:23:58;Opiskelija_198;L01-T1
07-09-2020 16:26:29;Opiskelija_199;L01-T1
02-09-2020 14:54:41;Opiskelija_200;L01-T1
06-09-2020 17:07:00;Opiskelija_201;L01-T1
03-09-2020 12:57:56;Opiskelija_202;L01-T1
07-09-2020 11:36:11;Opiskelija_203;L01-T1
04-09-2020 14:54:47;Opiskelija_204;L01-T1
03-09-2020 20:20:50;Opiskelija_205;L01-T1
04-09-2020 15:32:23;Opiskelija_206;L01-T1
07-09-2020 16:01:00;Opiskelija_207;L01-T1
03-09-2020 13:48:59;Opiskelija_208;L01-T1
07-09-2020 20:42:05;Opiskelija_209;L01-T1
06-09-2020 15:28:23;Opiskelija_211;L01-T1
03-09-2020 20:48:48;Opiskelija_212;L01-T1
06-09-2020 14:53:18;Opiskelija_214;L01-T1
06-09-2020 19:01:59;Opiskelija_215;L01-T1
02-09-2020 23:04:12;Opiskelija_216;L01-T1
04-09-2020 18:10:46;Opiskelija_217;L01-T1
04-09-2020 15:39:25;Opiskelija_218;L01-T1
07-09-2020 10:37:39;Opiskelija_219;L01-T1
03-09-2020 20:39:48;Opiskelija_220;L01-T1
02-09-2020 16:41:41;Opiskelija_221;L01-T1
04-09-2020 09:47:06;Opiskelija_222;L01-T1
03-09-2020 14:31:03;Opiskelija_223;L01-T1
03-09-2020 14:15:54;Opiskelija_224;L01-T1
05-09-2020 11:03:51;Opiskelija_225;L01-T1
03-09-2020 17:14:20;Opiskelija_226;L01-T1
06-09-2020 12:42:53;Opiskelija_227;L01-T1
05-09-2020 22:53:47;Opiskelija_228;L01-T1
06-09-2020 21:43:25;Opiskelija_229;L01-T1
03-09-2020 10:56:09;Opiskelija_230;L01-T1
03-09-2020 14:22:56;Opiskelija_231;L01-T1
02-09-2020 15:06:36;Opiskelija_232;L01-T1
02-09-2020 19:10:05;Opiskelija_233;L01-T1
02-09-2020 16:43:14;Opiskelija_234;L01-T1
03-09-2020 13:39:15;Opiskelija_235;L01-T1
07-09-2020 19:19:36;Opiskelija_238;L01-T1
03-09-2020 13:18:33;Opiskelija_239;L01-T1
04-09-2020 15:50:39;Opiskelija_240;L01-T1
07-09-2020 16:01:00;Opiskelija_241;L01-T1
07-09-2020 14:35:49;Opiskelija_242;L01-T1
03-09-2020 16:39:22;Opiskelija_243;L01-T1
06-09-2020 22:08:09;Opiskelija_245;L01-T1
07-09-2020 18:38:03;Opiskelija_246;L01-T1
05-09-2020 12:09:30;Opiskelija_247;L01-T1
07-09-2020 18:47:40;Opiskelija_248;L01-T1
04-09-2020 12:06:32;Opiskelija_249;L01-T1
02-09-2020 16:28:24;Opiskelija_250;L01-T1
07-09-2020 15:22:05;Opiskelija_251;L01-T1
06-09-2020 13:56:46;Opiskelija_252;L01-T1
07-09-2020 17:35:49;Opiskelija_253;L01-T1
03-09-2020 15:04:55;Opiskelija_254;L01-T1
02-09-2020 16:26:57;Opiskelija_255;L01-T1
05-09-2020 18:44:16;Opiskelija_256;L01-T1
06-09-2020 22:17:08;Opiskelija_257;L01-T1
02-09-2020 23:54:47;Opiskelija_258;L01-T1
03-09-2020 13:36:45;Opiskelija_259;L01-T1
07-09-2020 20:33:33;Opiskelija_261;L01-T1
02-09-2020 15:21:59;Opiskelija_262;L01-T1
02-09-2020 21:19:06;Opiskelija_263;L01-T1
02-09-2020 14:52:32;Opiskelija_264;L01-T1
04-09-2020 14:16:53;Opiskelija_265;L01-T1
07-09-2020 18:25:21;Opiskelija_266;L01-T1
04-09-2020 20:33:36;Opiskelija_267;L01-T1
02-09-2020 17:38:32;Opiskelija_268;L01-T1
02-09-2020 17:41:51;Opiskelija_269;L01-T1
07-09-2020 08:52:59;Opiskelija_270;L01-T1
03-09-2020 11:48:24;Opiskelija_271;L01-T1
04-09-2020 16:52:25;Opiskelija_272;L01-T1
07-09-2020 20:33:19;Opiskelija_274;L01-T1
03-09-2020 09:38:35;Opiskelija_275;L01-T1
07-09-2020 16:01:00;Opiskelija_276;L01-T1
03-09-2020 15:45:04;Opiskelija_277;L01-T1
03-09-2020 18:56:26;Opiskelija_278;L01-T1
06-09-2020 16:34:53;Opiskelija_279;L01-T1
07-09-2020 09:50:51;Opiskelija_280;L01-T1
06-09-2020 12:52:53;Opiskelija_281;L01-T1
05-09-2020 14:45:49;Opiskelija_282;L01-T1
02-09-2020 15:57:30;Opiskelija_283;L01-T1
07-09-2020 13:24:31;Opiskelija_284;L01-T1
04-09-2020 12:08:57;Opiskelija_286;L01-T1
07-09-2020 18:55:04;Opiskelija_287;L01-T1
03-09-2020 12:16:27;Opiskelija_288;L01-T1
07-09-2020 21:10:12;Opiskelija_289;L01-T1
03-09-2020 22:27:52;Opiskelija_290;L01-T1
07-09-2020 21:54:50;Opiskelija_291;L01-T1
05-09-2020 17:14:57;Opiskelija_292;L01-T1
07-09-2020 16:01:00;Opiskelija_293;L01-T1
03-09-2020 13:17:30;Opiskelija_294;L01-T1
03-09-2020 22:37:39;Opiskelija_295;L01-T1
02-09-2020 15:29:51;Opiskelija_296;L01-T1
04-09-2020 11:04:27;Opiskelija_297;L01-T1
06-09-2020 09:41:50;Opiskelija_298;L01-T1
04-09-2020 21:52:00;Opiskelija_300;L01-T1
05-09-2020 06:19:00;Opiskelija_301;L01-T1
05-09-2020 16:47:25;Opiskelija_302;L01-T1
03-09-2020 14:28:16;Opiskelija_303;L01-T1
03-09-2020 12:20:37;Opiskelija_304;L01-T1
06-09-2020 09:46:01;Opiskelija_305;L01-T1
04-09-2020 10:23:32;Opiskelija_306;L01-T1
02-09-2020 19:37:42;Opiskelija_307;L01-T1
03-09-2020 14:22:36;Opiskelija_308;L01-T1
03-09-2020 19:00:59;Opiskelija_309;L01-T1
08-09-2020 00:55:51;Opiskelija_310;L01-T1
02-09-2020 15:20:00;Opiskelija_311;L01-T1
04-09-2020 17:37:48;Opiskelija_312;L01-T1
05-09-2020 19:11:24;Opiskelija_313;L01-T1
02-09-2020 15:22:29;Opiskelija_315;L01-T1
02-09-2020 15:00:35;Opiskelija_316;L01-T1
02-09-2020 17:04:07;Opiskelija_318;L01-T1
05-09-2020 13:00:49;Opiskelija_319;L01-T1
05-09-2020 11:45:57;Opiskelija_320;L01-T1
03-09-2020 09:46:50;Opiskelija_321;L01-T1
04-09-2020 10:59:36;Opiskelija_322;L01-T1
03-09-2020 16:24:11;Opiskelija_323;L01-T1
04-09-2020 21:43:01;Opiskelija_324;L01-T1
07-09-2020 13:40:41;Opiskelija_325;L01-T1
07-09-2020 18:06:03;Opiskelija_326;L01-T1
02-09-2020 17:35:56;Opiskelija_327;L01-T1
03-09-2020 15:27:38;Opiskelija_328;L01-T1
05-09-2020 11:54:48;Opiskelija_329;L01-T1
05-09-2020 09:01:34;Opiskelija_330;L01-T1
03-09-2020 12:49:31;Opiskelija_331;L01-T1
05-09-2020 16:53:48;Opiskelija_332;L01-T1
07-09-2020 13:54:46;Opiskelija_334;L01-T1
05-09-2020 09:34:23;Opiskelija_335;L01-T1
07-09-2020 13:23:09;Opiskelija_336;L01-T1
03-09-2020 14:33:52;Opiskelija_337;L01-T1
05-09-2020 15:33:41;Opiskelija_338;L01-T1
06-09-2020 16:58:36;Opiskelija_339;L01-T1
07-09-2020 20:14:25;Opiskelija_340;L01-T1
03-09-2020 10:26:54;Opiskelija_341;L01-T1
07-09-2020 15:52:49;Opiskelija_342;L01-T1
07-09-2020 20:44:28;Opiskelija_343;L01-T1
05-09-2020 17:01:01;Opiskelija_344;L01-T1
02-09-2020 16:50:05;Opiskelija_345;L01-T1
06-09-2020 13:30:36;Opiskelija_346;L01-T1
06-09-2020 12:35:33;Opiskelija_347;L01-T1
07-09-2020 16:01:00;Opiskelija_348;L01-T1
07-09-2020 21:20:42;Opiskelija_349;L01-T1
05-09-2020 09:27:05;Opiskelija_350;L01-T1
04-09-2020 11:09:57;Opiskelija_351;L01-T1
07-09-2020 10:59:24;Opiskelija_352;L01-T1
03-09-2020 16:43:46;Opiskelija_353;L01-T1
07-09-2020 19:30:45;Opiskelija_354;L01-T1
03-09-2020 15:32:51;Opiskelija_355;L01-T1
03-09-2020 23:05:24;Opiskelija_356;L01-T1
02-09-2020 16:52:12;Opiskelija_357;L01-T1
07-09-2020 23:16:35;Opiskelija_358;L01-T1
03-09-2020 11:31:48;Opiskelija_359;L01-T1
03-09-2020 15:04:57;Opiskelija_360;L01-T1
07-09-2020 18:44:37;Opiskelija_361;L01-T1
05-09-2020 18:01:08;Opiskelija_362;L01-T1
02-09-2020 16:49:06;Opiskelija_363;L01-T1
07-09-2020 16:01:00;Opiskelija_364;L01-T1
03-09-2020 12:14:44;Opiskelija_365;L01-T1
03-09-2020 12:29:22;Opiskelija_366;L01-T1
04-09-2020 11:58:01;Opiskelija_367;L01-T1
07-09-2020 22:43:38;Opiskelija_368;L01-T1
06-09-2020 10:27:30;Opiskelija_369;L01-T1
07-09-2020 23:00:59;Opiskelija_370;L01-T1
03-09-2020 16:26:20;Opiskelija_371;L01-T1
04-09-2020 12:54:22;Opiskelija_372;L01-T1
03-09-2020 10:03:55;Opiskelija_373;L01-T1
02-09-2020 15:49:06;Opiskelija_374;L01-T1
07-09-2020 15:51:09;Opiskelija_375;L01-T1
03-09-2020 12:34:53;Opiskelija_376;L01-T1
07-09-2020 00:05:29;Opiskelija_377;L01-T1
03-09-2020 12:19:18;Opiskelija_378;L01-T1
03-09-2020 16:49:45;Opiskelija_379;L01-T1
04-09-2020 15:03:55;Opiskelija_380;L01-T1
04-09-2020 20:26:31;Opiskelija_381;L01-T1
04-09-2020 17:39:40;Opiskelija_382;L01-T1
04-09-2020 17:06:30;Opiskelija_383;L01-T1
07-09-2020 21:57:01;Opiskelija_384;L01-T1
04-09-2020 16:36:18;Opiskelija_385;L01-T1
04-09-2020 09:33:54;Opiskelija_386;L01-T1
02-09-2020 16:52:38;Opiskelija_387;L01-T1
07-09-2020 21:00:18;Opiskelija_388;L01-T1
02-09-2020 15:35:00;Opiskelija_389;L01-T1
04-09-2020 10:42:41;Opiskelija_390;L01-T1
06-09-2020 21:28:08;Opiskelija_391;L01-T1
04-09-2020 19:12:36;Opiskelija_392;L01-T1
05-09-2020 16:09:18;Opiskelija_393;L01-T1
03-09-2020 16:28:17;Opiskelija_394;L01-T1
04-09-2020 10:07:49;Opiskelija_395;L01-T1
06-09-2020 20:09:15;Opiskelija_396;L01-T1
07-09-2020 16:35:52;Opiskelija_400;L01-T1
06-09-2020 21:03:44;Opiskelija_401;L01-T1
05-09-2020 11:53:37;Opiskelija_402;L01-T1
02-09-2020 15:08:51;Opiskelija_403;L01-T1
04-09-2020 18:09:23;Opiskelija_404;L01-T1
04-09-2020 16:40:40;Opiskelija_405;L01-T1
02-09-2020 16:50:29;Opiskelija_406;L01-T1
04-09-2020 20:36:29;Opiskelija_407;L01-T1
04-09-2020 14:45:05;Opiskelija_408;L01-T1
04-09-2020 16:53:36;Opiskelija_409;L01-T1
02-09-2020 17:37:42;Opiskelija_410;L01-T1
03-09-2020 09:32:28;Opiskelija_411;L01-T1
05-09-2020 14:05:46;Opiskelija_412;L01-T1
07-09-2020 17:45:59;Opiskelija_413;L01-T1
02-09-2020 17:32:16;Opiskelija_414;L01-T1
02-09-2020 15:58:48;Opiskelija_415;L01-T1
07-09-2020 21:51:53;Opiskelija_416;L01-T1
02-09-2020 16:17:31;Opiskelija_417;L01-T1
06-09-2020 16:44:28;Opiskelija_418;L01-T1
03-09-2020 14:31:46;Opiskelija_419;L01-T1
07-09-2020 19:19:49;Opiskelija_420;L01-T1
07-09-2020 14:17:14;Opiskelija_421;L01-T1
06-09-2020 02:08:41;Opiskelija_422;L01-T1
02-09-2020 18:37:38;Opiskelija_423;L01-T1
02-09-2020 15:33:18;Opiskelija_424;L01-T1
02-09-2020 17:49:29;Opiskelija_425;L01-T1
03-09-2020 10:24:39;Opiskelija_427;L01-T1
05-09-2020 16:01:10;Opiskelija_428;L01-T1
07-09-2020 12:18:00;Opiskelija_429;L01-T1
03-09-2020 10:09:40;Opiskelija_430;L01-T1
06-09-2020 20:11:24;Opiskelija_431;L01-T1
03-09-2020 18:05:22;Opiskelija_432;L01-T1
03-09-2020 10:13:54;Opiskelija_434;L01-T1
02-09-2020 15:20:41;Opiskelija_435;L01-T1
05-09-2020 09:05:36;Opiskelija_436;L01-T1
03-09-2020 17:12:23;Opiskelija_437;L01-T1
02-09-2020 20:58:25;Opiskelija_438;L01-T1
08-09-2020 00:32:30;Opiskelija_439;L01-T1
04-09-2020 14:33:44;Opiskelija_440;L01-T1
03-09-2020 14:25:14;Opiskelija_441;L01-T1
07-09-2020 19:34:38;Opiskelija_442;L01-T1
02-09-2020 19:40:49;Opiskelija_443;L01-T1
02-09-2020 18:13:59;Opiskelija_444;L01-T1
02-09-2020 16:09:45;Opiskelija_445;L01-T1
07-09-2020 14:30:09;Opiskelija_446;L01-T1
07-09-2020 20:53:16;Opiskelija_448;L01-T1
04-09-2020 19:54:35;Opiskelija_449;L01-T1
04-09-2020 20:17:10;Opiskelija_450;L01-T1
04-09-2020 13:42:34;Opiskelija_451;L01-T1
02-09-2020 15:59:04;Opiskelija_452;L01-T1
02-09-2020 17:38:15;Opiskelija_453;L01-T1
07-09-2020 16:01:00;Opiskelija_454;L01-T1
04-09-2020 20:20:44;Opiskelija_455;L01-T1
04-09-2020 11:02:34;Opiskelija_456;L01-T1
02-09-2020 15:20:04;Opiskelija_457;L01-T1
03-09-2020 11:28:46;Opiskelija_458;L01-T1
03-09-2020 14:11:20;Opiskelija_459;L01-T1
07-09-2020 09:00:16;Opiskelija_461;L01-T1
03-09-2020 10:32:05;Opiskelija_462;L01-T1
07-09-2020 19:20:52;Opiskelija_463;L01-T1
07-09-2020 18:57:28;Opiskelija_464;L01-T1
04-09-2020 12:24:52;Opiskelija_465;L01-T1
06-09-2020 14:22:10;Opiskelija_466;L01-T1
07-09-2020 17:12:17;Opiskelija_467;L01-T1
02-09-2020 17:20:47;Opiskelija_468;L01-T1
03-09-2020 12:51:49;Opiskelija_469;L01-T1
07-09-2020 21:48:17;Opiskelija_470;L01-T1
02-09-2020 19:44:57;Opiskelija_471;L01-T1
04-09-2020 16:11:55;Opiskelija_472;L01-T1
07-09-2020 09:40:23;Opiskelija_474;L01-T1
05-09-2020 18:13:04;Opiskelija_475;L01-T1
06-09-2020 23:07:15;Opiskelija_476;L01-T1
03-09-2020 17:04:00;Opiskelija_477;L01-T1
06-09-2020 10:43:04;Opiskelija_478;L01-T1
06-09-2020 21:59:58;Opiskelija_479;L01-T1
03-09-2020 07:43:26;Opiskelija_480;L01-T1
07-09-2020 13:47:05;Opiskelija_481;L01-T1
06-09-2020 22:40:48;Opiskelija_482;L01-T1
07-09-2020 20:46:34;Opiskelija_483;L01-T1
02-09-2020 18:34:56;Opiskelija_484;L01-T1
07-09-2020 16:44:05;Opiskelija_485;L01-T1
04-09-2020 21:43:21;Opiskelija_486;L01-T1
03-09-2020 11:47:55;Opiskelija_487;L01-T1
03-09-2020 10:42:26;Opiskelija_489;L01-T1
04-09-2020 15:35:08;Opiskelija_490;L01-T1
07-09-2020 19:46:13;Opiskelija_491;L01-T1
02-09-2020 15:52:28;Opiskelija_492;L01-T1
03-09-2020 09:24:31;Opiskelija_493;L01-T1
05-09-2020 22:15:34;Opiskelija_494;L01-T1
02-09-2020 18:50:58;Opiskelija_495;L01-T1
07-09-2020 16:01:00;Opiskelija_496;L01-T1
08-09-2020 00:26:05;Opiskelija_497;L01-T1
08-09-2020 05:42:48;Opiskelija_498;L01-T1
04-09-2020 10:52:32;Opiskelija_499;L01-T1
02-09-2020 22:06:10;Opiskelija_500;L01-T1
07-09-2020 20:49:25;Opiskelija_501;L01-T1
04-09-2020 14:05:22;Opiskelija_502;L01-T1
04-09-2020 14:04:49;Opiskelija_503;L01-T1
07-09-2020 18:33:21;Opiskelija_504;L01-T1
02-09-2020 19:14:10;Opiskelija_505;L01-T1
06-09-2020 12:24:46;Opiskelija_506;L01-T1
07-09-2020 00:26:11;Opiskelija_507;L01-T1
06-09-2020 15:42:52;Opiskelija_508;L01-T1
02-09-2020 15:31:22;Opiskelija_509;L01-T1
03-09-2020 20:19:04;Opiskelija_510;L01-T1
05-09-2020 16:03:47;Opiskelija_511;L01-T1
03-09-2020 11:11:29;Opiskelija_512;L01-T1
03-09-2020 11:48:39;Opiskelija_513;L01-T1
06-09-2020 18:04:12;Opiskelija_514;L01-T1
07-09-2020 16:04:57;Opiskelija_515;L01-T1
07-09-2020 13:05:47;Opiskelija_516;L01-T1
03-09-2020 09:51:30;Opiskelija_517;L01-T1
07-09-2020 14:56:49;Opiskelija_518;L01-T1
04-09-2020 12:27:07;Opiskelija_001;L01-T2
03-09-2020 20:16:51;Opiskelija_002;L01-T2
04-09-2020 12:34:12;Opiskelija_003;L01-T2
04-09-2020 16:37:16;Opiskelija_004;L01-T2
03-09-2020 19:07:37;Opiskelija_005;L01-T2
02-09-2020 16:42:27;Opiskelija_007;L01-T2
03-09-2020 18:00:42;Opiskelija_008;L01-T2
05-09-2020 19:39:22;Opiskelija_009;L01-T2
02-09-2020 15:09:40;Opiskelija_010;L01-T2
04-09-2020 11:54:05;Opiskelija_011;L01-T2
06-09-2020 01:22:12;Opiskelija_012;L01-T2
07-09-2020 18:45:38;Opiskelija_013;L01-T2
07-09-2020 16:01:00;Opiskelija_014;L01-T2
